OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,park_per1k
1424,433307,3212,2217.0,19720,980.0,6017,70.3,67917,465.0,14.4769613947696,1.75,0.21,35.83,56.68,29.54,27.6,10.18,4540740.171875,12822.7008937003,0.0
1425,433402,4163,3869.0,19327,1072.0,4977,63.8,68512,605.0,14.5327888541917,4.02,0.31,16.25,71.86,42.0,37.92,13.26,6005004.502929689,10182.7036484198,0.0
1426,433403,4761,3375.0,17447,1282.0,4698,62.3,49202,747.0,15.6899810964083,0.6,0.0,19.83,79.14,44.62,44.74,26.27,7607529.446289059,11940.534538284099,0.0
1427,433505,4459,3620.0,15093,1084.0,3669,64.2,53190,801.0,17.9636689840771,1.52,0.46,34.1,58.94,39.2,45.75,29.94,8236356.90722656,17035.2650038105,0.0
1428,433506,3941,2937.0,6237,880.0,1393,53.1,36956,1061.0,26.9221009895965,0.6,0.0,15.0,84.4,42.7,32.99,21.07,17614450.0869141,22684.1758415986,0.010416
1429,433601,4561,4592.0,10496,1281.0,2948,74.7,66657,432.0,9.471607103705328,2.74,0.02,67.82,27.85,32.91,40.33,11.19,12114060.4599609,14675.1975372305,0.0
1430,433602,2882,2351.0,7451,774.0,2001,74.7,50379,539.0,18.7022900763359,3.92,0.0,68.7,27.15,34.79,41.13,21.41,10782753.8291016,16051.879993391,0.787471
1431,433803,3051,2644.0,6647,865.0,1885,71.7,74583,392.0,12.8482464765651,4.400000000000001,1.01,16.24,78.09,23.79,17.51,20.0,12796336.6201172,22436.732506193697,1.955062
1432,433804,4514,3252.0,7726,1028.0,1760,65.5,46581,1620.0,35.8883473637572,2.27,0.46,6.21,91.05,39.39,31.03,23.73,16287702.0595703,19168.0977595328,0.0
1433,433901,5072,4350.0,18222,1302.0,4678,58.5,49621,1280.0,25.2365930599369,4.21,0.31,20.84,73.83,42.44,40.78,26.2,7759901.59375,11249.3602778823,1.92713
1434,433903,5576,3910.0,15875,1399.0,3983,62.6,52438,1287.0,23.0810616929699,1.24,0.39,9.38,88.4,39.95,34.68,17.83,9792355.77734375,13498.2003129839,0.0
1435,434001,4727,2956.0,11409,1069.0,2580,57.5,51438,600.0,12.6930399830759,2.18,0.15,28.29,69.02,35.96,39.65,6.63,11550969.3085938,16305.7505158717,0.0
1436,434003,4086,3152.0,10984,944.0,2538,64.8,60147,795.0,19.4566813509545,2.88,0.1,12.43,83.72,38.67,32.93,17.92,10371063.4082031,15938.2041935365,0.003843
1437,434004,2756,2475.0,10430,636.0,2407,68.2,71652,233.0,8.454281567489122,1.42,1.19,17.25,80.14,33.05,31.84,9.58,7366791.690429689,11945.1609092175,0.000112
1438,434100,6495,5200.0,6746,1511.0,1569,66.6,59432,726.0,11.1778290993072,3.13,0.57,18.21,77.12,44.52,32.92,20.99,26841415.643554695,25502.2203710001,1.231717
1439,460001,1560,1325.0,777,597.0,297,74.8,194375,0.0,0.0,73.46,0.06,15.02,9.9,2.94,0.6,2.98,55955876.85253909,50542.485482028,114.890087
1440,460002,3292,2348.0,5436,1241.0,2049,83.8,131469,156.0,4.73876063183475,49.66,1.65,30.88,13.52,5.66,6.81,3.87,16882957.3056641,22441.341773672204,3.978594
1441,460101,5850,5286.0,2659,2389.0,1086,83.0,136348,100.0,1.70940170940171,61.11,8.79,12.0,11.26,4.39,2.67,4.38,61333859.5361328,44969.8975126421,20.460009
1442,460200,5507,4276.0,4474,2121.0,1723,75.9,99223,382.0,6.93662611222081,30.02,25.83,6.79,32.55,11.74,6.41,3.95,34318548.8115234,27180.474601486396,2.773511
1443,460301,4664,3478.0,2456,1693.0,891,76.1,130438,600.0,12.8644939965695,45.51,27.22,3.77,16.3,5.43,0.69,3.53,52943400.9785156,40661.8570855257,4.229919
1444,460302,4235,3559.0,8356,1357.0,2677,71.3,68615,440.0,10.3896103896104,18.99,31.13,3.25,44.25,14.86,9.89,8.630000000000004,14130156.5224609,17616.0550625736,0.033887
