CT20,total_park_acres
"430005",8.822736
"430101",28.272478
"430102",5.999258
"430200",0.987213
"430301",1207.141294
"430400",21.054609
"430501",301.804306
"430502",21.099624
"430600",2.922863
"430701",126.59925
"430721",73.443082
"430724",1.25593
"430801",6.368369
"430802",12.161463
"430803",4.47101
"430901",1.731977
"431002",18.819969
"431004",6.12737
"431100",3.029857
"431200",3.261316
"431400",1.536585
"431502",26.689896
"431600",2.560801
"431701",4.992562
"431900",2.001571
"432001",4.968367
"432201",1.939228
"432202",19.386051
"432300",3.367058
"432401",9.461173
"432501",0.00255
"432700",3.78825
"432801",4.415218
"432802",0.533621
"432901",2.523537
"433103",2.098341
"433200",8.693361
"433305",4.478938
"433506",0.041051
"433602",2.269492
"433803",5.964893
"433901",9.774403
"434003",0.015701
"434004",0.000308
"434100",8.000001
"460001",179.228535
"460002",13.097532
"460101",119.691051
"460200",15.273726
"460301",19.728342
"460302",0.143513
"460401",911.82345
"460501",65.544143
"460502",1.650353
"460601",1.41596
"460700",286.029315
"460800",29.849781
"460900",5.161033
"461000",5.474047
"461200",5.837719
"461502",4.394052
"461600",11.948432
"461700",104.293628
"461901",10.536441
"461902",5.505754
"462100",6.557352
"462400",5.065538
"462500",26.20396
"462700",4.396963
"462900",13.53648
"463103",2.184302
"463200",5.758626
"463500",28.32982
"463601",2.801398
"463602",9.190413
"463700",50.102246
"463800",51.918737
"463900",23.76312
"464000",3.191937
"464101",206.689616
"464102",28.042002
"480201",1.35997
"480202",0.28872
"480302",7.855435
"480303",0.997179
"480500",0.895245
"480601",7.516984
"480602",49.110785
"480702",0.004083
"480703",2.585609
"480704",2.296445
"480802",0.860786
"480804",12.625034
"481001",17.794464
"481101",6.501299
"481203",0.82391
"481300",0.199053
"481401",11.096883
"481500",22.067468
"481712",3.154604
"481714",1.085062
"481902",16.051999
"482001",7.363469
"482002",9.784488
"482101",1.041006
"482102",0.389569
"482201",10.860132
"482301",1.807344
"482303",9.647955
"482401",6.765191
"482403",10.091591
"482404",0.392971
"482522",6.991003
"482600",19.864526
"482701",3.929657
"482801",33.351005
"500100",621.531908
"500202",362.145316
"500203",3.011134
"500204",41.860728
"500300",100.683414
"500402",13.253991
"500403",9.195665
"500404",10.523026
"500500",0.260531
"500600",12.330275
"500700",4.62865
"500800",16.479507
"500900",0.011815
"501001",11.952564
"501002",23.95368
"501200",11.114831
"501301",19.33856
"501302",15.70181
"501400",23.420767
"501501",806.397149
"501503",2.421262
"501504",1.688577
"501600",1688.315364
"501700",15.306917
"501803",4.978119
"501804",6.574596
"501900",9.419228
"502003",6.069951
"502004",9.186027
"502005",4.334789
"502100",0.000788
"502200",0.028066
"502303",49.698383
"502603",15.038861
"502700",18.761389
"502801",34.019316
"503000",14.435793
"503202",14.597451
"503301",5.243178
"503302",29.487118
"503402",9.219478
"503501",20.498392
"503502",8.339357
"503602",146.914568
"503701",16.059227
"503704",11.338236
"503705",1.889099
"503801",28.222545
"503802",0.237695
"503901",3.515675
"503902",9.263044
"504002",5.11722
"504101",4.167218
"504200",46.434531
"530005",2.278512
"530006",7.142114
"530007",26.689591
"530101",0.019843
"530202",7.645617
"530204",7.925244
"530301",1.959612
"530400",48.705202
"530603",5.367486
"530902",10.077889
"531000",10.93687
"531301",7.922004
"531302",1.609488
"531702",0.459199
"531902",4.825652
"532002",12.92761
"532101",7.595647
"532200",6.547562
"532302",14.983768
"532303",5.65063
"532304",9.728638
"532607",4.646991
"532800",5.314762
"533001",0.530963
"533108",2.621769
"533204",32.477762
"533300",0.414499
"533401",0.151473
"533402",0.423044
"533504",2.347532
"533601",1.941306
"533602",3.336798
"533603",0.002414
"533703",10.599886
"533803",0.184314
"533805",3.255671
"533806",1.763083
"533902",0.25881
"534001",16.578685
"534002",0.424142
"534101",0.981307
"534102",0.864723
"534201",0.755229
"534202",0.256338
"534203",38.111627
"534302",8.334368
"534404",4.211479
"534405",7.017503
"534406",0.239739
"534803",3.812086
"534900",24.340073
"535102",6.81419
"535200",31.78085
"535503",2.966576
"535603",6.911727
"535604",0.742302
"536102",4.600714
"536103",83.17695
"536104",7.582913
"536201",48.040047
"536202",1.005768
"540102",9.355599
"540203",36.212925
"540300",1.349727
"540501",4.039148
"540502",2.316857
"540600",8.517862
"540700",9.509052
"540800",124.202436
"540901",18.716268
"541003",0.68735
"541100",9.948529
"541200",14.339945
"541300",3.656859
"541402",0.000178
"541603",1.2e-05
"541604",1.887442
"541606",3.723844
"541802",8.905687
"542000",7.353429
"542106",5.850787
"542200",4.334191
"542402",4.575479
"542501",2.541747
"542502",4.086684
"542601",0.272596
"542700",0.020141
"543000",4.25609
"543100",16.956529
"543201",4.344861
"543304",13.420861
"543306",14.07943
"543321",11.828629
"543322",8.623433
"543400",34.350492
"543601",12.312781
"543607",4.844852
"543705",11.277388
"543801",10.833113
"543903",9.232043
"544001",7.624852
"544002",0.002558
"550202",7.388431
"550301",4.776093
"550501",0.066143
"550502",5.76605
"550700",3.71534
"550801",14.408069
"550802",2.271982
"550901",0.960601
"551001",16.578635
"551101",17.899883
"551102",7.567938
"551203",1.212888
"551401",0.355531
"551502",16.330902
"551900",4.827269
"552002",6.532439
"552200",15.504077
"552301",14.112683
"552400",4.062486
