OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,total,pct_walk,unwalkable,unwalkab_1,unwalkab_2,unwalkab_3,unwalkab_4,unwalkab_5,unwalkab_6,unwalkab_7,unwalkab_8,unwalkab_9,unwalkab10,unwalkab11,unwalkab12,unwalkab13,unwalkab14,unwalkab15,unwalkab16,unwalkab17,unwalkab18,unwalkab19
"1064","294610","4035","3083","12684","1173","3687",58.399999999999999,"51036","681",16.877323420074401,3.280000000000000,0.590000000000000,5.320000000000000,90.049999999999997,34.969999999999999,29.780000000000001,10.779999999999999,8868460.149414060637355,11953.810958538899285,823799.011300,,,,,,,,,,,,,,,,,,,,,
"1065","294620","4047","3428","12453","1024","3151",58.000000000000000,"49880","448",11.069928341981701,2.180000000000000,0.480000000000000,0.660000000000000,95.200000000000003,35.710000000000001,27.680000000000000,6.760000000000000,9059969.425781250000000,12685.368500853799560,841588.661200,,,,,,,,,,,,,,,,,,,,,
"1066","294701","3117","2218","4602","1006","1485",29.600000000000001,"36014","912",29.258902791145299,4.420000000000000,5.360000000000000,1.170000000000000,87.659999999999997,42.520000000000003,28.180000000000000,18.160000000000000,18881648.426757801324129,19842.785050490798312,1753922.492000,"73","294701","3117","2218","4602","1006","1485",29.600000000000001,"36014","912",29.258902791145299,4.420000000000000,5.360000000000000,1.170000000000000,87.659999999999997,42.520000000000003,28.180000000000000,18.160000000000000,18881648.426757801324129,19842.785050490798312,477387.83547
"1067","294810","3753","2668","30328","986","7968",55.700000000000003,"50438","801",21.342925659472400,2.800000000000000,1.500000000000000,2.240000000000000,89.959999999999994,46.250000000000000,36.320000000000000,10.170000000000000,3449897.047851560171694,7567.768434648330185,320462.588600,"76","294810","3753","2668","30328","986","7968",55.700000000000003,"50438","801",21.342925659472400,2.800000000000000,1.500000000000000,2.240000000000000,89.959999999999994,46.250000000000000,36.320000000000000,10.170000000000000,3449897.047851560171694,7567.768434648330185,77140.80735
"1068","294820","3360","2243","22690","905","6111",50.899999999999999,"37222","1166",34.702380952380899,0.660000000000000,0.400000000000000,2.470000000000000,96.469999999999999,51.979999999999997,43.960000000000001,19.289999999999999,4128349.655273439828306,8204.369466690750414,383484.311000,,,,,,,,,,,,,,,,,,,,,
"1069","294830","3828","2872","11190","959","2803",47.799999999999997,"51554","913",23.850574712643699,3.460000000000000,3.230000000000000,0.680000000000000,90.909999999999997,39.030000000000001,26.949999999999999,10.910000000000000,9536773.888671880587935,13691.463329644500845,885871.484400,,,,,,,,,,,,,,,,,,,,,
"1070","294900","3834","2465","15404","867","3483",60.200000000000003,"37974","1044",27.230046948356801,3.050000000000000,5.190000000000000,3.030000000000000,85.540000000000006,43.369999999999997,34.200000000000003,17.920000000000002,6938717.872070309706032,13623.827837464499680,644539.101200,,,,,,,,,,,,,,,,,,,,,
"1071","295103","4948","4467","6226","2092","2632",80.400000000000006,"120769","163",3.294260307194830,47.409999999999997,3.140000000000000,11.050000000000001,35.210000000000001,6.560000000000000,3.070000000000000,5.800000000000000,22155295.477539099752903,25554.105130575899238,2057995.838000,"95","295103","4948","4467","6226","2092","2632",80.400000000000006,"120769","163",3.294260307194830,47.409999999999997,3.140000000000000,11.050000000000001,35.210000000000001,6.560000000000000,3.070000000000000,5.800000000000000,22155295.477539099752903,25554.105130575899238,94086.98031
"1072","296210","2989","2620","13834","983","4550",48.399999999999999,"40282","679",22.716627634660401,4.190000000000002,3.530000000000000,1.040000000000000,89.650000000000006,27.370000000000001,22.100000000000001,13.840000000000000,6023396.926757809706032,9602.705454594150069,559510.422500,,,,,,,,,,,,,,,,,,,,,
"1073","296220","4439","3196","21432","1587","7662",44.700000000000003,"33232","1541",34.715025906735796,9.650000000000000,19.910000000000000,8.440000000000000,59.100000000000001,27.600000000000001,26.530000000000001,24.859999999999999,5774252.995117190293968,9598.055061367760572,536366.470800,,,,,,,,,,,,,,,,,,,,,
