intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
1.714779,"1","1",1.714779,1.714779,0,1.714779,1.714779,1.714779,0,1.714779,1.714779,1.714779,1.714779,0
6.806320,"1","1",6.80632,6.80632,0,6.80632,6.80632,6.80632,0,6.80632,6.80632,6.80632,6.80632,0
1.744838,"1","1",1.744838,1.744838,0,1.744838,1.744838,1.744838,0,1.744838,1.744838,1.744838,1.744838,0
9.869964,"1","1",9.869964,9.869964,0,9.869964,9.869964,9.869964,0,9.869964,9.869964,9.869964,9.869964,0
5.172060,"1","1",5.17206,5.17206,0,5.17206,5.17206,5.17206,0,5.17206,5.17206,5.17206,5.17206,0
16.860295,"1","1",16.860295,16.860295,0,16.860295,16.860295,16.860295,0,16.860295,16.860295,16.860295,16.860295,0
4.260313,"1","1",4.260313,4.260313,0,4.260313,4.260313,4.260313,0,4.260313,4.260313,4.260313,4.260313,0
14.112683,"1","1",14.112683,14.112683,0,14.112683,14.112683,14.112683,0,14.112683,14.112683,14.112683,14.112683,0
0.021022,"1","1",0.021022,0.021022,0,0.021022,0.021022,0.021022,0,0.021022,0.021022,0.021022,0.021022,0
2.298596,"1","1",2.298596,2.298596,0,2.298596,2.298596,2.298596,0,2.298596,2.298596,2.298596,2.298596,0
5.456613,"1","1",5.456613,5.456613,0,5.456613,5.456613,5.456613,0,5.456613,5.456613,5.456613,5.456613,0
9.919179,"1","1",9.919179,9.919179,0,9.919179,9.919179,9.919179,0,9.919179,9.919179,9.919179,9.919179,0
79.871479,"1","1",79.871479,79.871479,0,79.871479,79.871479,79.871479,0,79.871479,79.871479,79.871479,79.871479,0
40.516096,"1","1",40.516096,40.516096,0,40.516096,40.516096,40.516096,0,40.516096,40.516096,40.516096,40.516096,0
26.894351,"1","1",26.894351,26.894351,0,26.894351,26.894351,26.894351,0,26.894351,26.894351,26.894351,26.894351,0
3.465049,"1","1",3.465049,3.465049,0,3.465049,3.465049,3.465049,0,3.465049,3.465049,3.465049,3.465049,0
